x,funAkimaBlackSmith,funAkimaApacheCommons,funLinearBlackSmith,funLinearApacheCommons,knot
0,0.0,0.0,0.0,0.0,0.0
1,2.0,2.0,2.033333333333333,2.0,2.0
2,2.0386084828675344,3.202661520414548,2.066666666666667,2.033333333333333,
3,2.070909929647328,3.560897817707505,2.1,2.066666666666667,
4,2.1000520725449263,3.3572293530957005,2.1333333333333333,2.1,
5,2.129182643765874,2.8741765877959624,2.166666666666667,2.1333333333333333,
6,2.1614493755157174,2.394259983025119,2.2,2.166666666666667,
7,2.2,2.2,2.5,2.2,2.2
8,2.2440735228909046,2.244073522890904,2.5428571428571427,2.242857142857143,
9,2.2899336400227153,2.2899336400227157,2.5857142857142854,2.285714285714286,
10,2.336265118844138,2.3362651188441377,2.6285714285714286,2.3285714285714287,
11,2.381752726803874,2.381752726803874,2.6714285714285713,2.3714285714285714,
12,2.4250812313506276,2.425081231350628,2.7142857142857144,2.414285714285714,
13,2.464935399933102,2.464935399933102,2.757142857142857,2.4571428571428573,
14,2.5,2.5,2.7624999999999997,2.5,2.5
15,2.5312471423898395,2.5312471423898395,2.78125,2.51875,
16,2.560563539577715,2.560563539577715,2.8,2.5375,
17,2.5880058614671952,2.5880058614671952,2.8187499999999996,2.55625,
18,2.6136307779618475,2.6136307779618475,2.8375,2.575,
19,2.637494958965241,2.637494958965241,2.8562499999999997,2.59375,
20,2.6596550743809435,2.659655074380944,2.875,2.6125,
21,2.6801677941125237,2.6801677941125237,2.89375,2.63125,
22,2.6990897880635503,2.69908978806355,2.9124999999999996,2.65,
23,2.7164777261375894,2.71647772613759,2.93125,2.6687499999999997,
24,2.7323882782382123,2.732388278238212,2.9499999999999997,2.6875,
25,2.7468781142689846,2.746878114268985,2.9687499999999996,2.70625,
26,2.7600039041334763,2.7600039041334767,2.9875,2.7249999999999996,
27,2.771822317735256,2.771822317735256,3.0062499999999996,2.74375,
28,2.782390024977891,2.782390024977891,3.0249999999999995,2.7624999999999997,
29,2.791763695764949,2.791763695764949,3.0437499999999997,2.78125,
30,2.8,2.8,3.0,2.8,2.8
31,2.807683561724014,2.8076835617240143,3.006666666666667,2.8066666666666666,
32,2.8153602726218145,2.815360272621814,3.013333333333333,2.813333333333333,
33,2.8230287040627444,2.8230287040627444,3.02,2.82,
34,2.830687427416149,2.830687427416149,3.026666666666667,2.8266666666666667,
35,2.838335014051372,2.838335014051372,3.033333333333333,2.833333333333333,
36,2.845970035337757,2.845970035337757,3.04,2.84,
37,2.853591062644649,2.8535910626446492,3.046666666666667,2.8466666666666667,
38,2.8611966673413924,2.8611966673413924,3.0533333333333332,2.853333333333333,
39,2.8687854207973307,2.868785420797331,3.06,2.86,
40,2.8763558943818084,2.876355894381809,3.066666666666667,2.8666666666666667,
41,2.88390665946417,2.88390665946417,3.0733333333333333,2.873333333333333,
42,2.891436287413759,2.891436287413759,3.08,2.88,
43,2.8989433495999197,2.8989433495999197,3.086666666666667,2.8866666666666667,
44,2.906426417391997,2.906426417391997,3.0933333333333333,2.893333333333333,
45,2.9138840621593345,2.9138840621593345,3.1,2.9,
46,2.921314855271276,2.921314855271276,3.106666666666667,2.9066666666666667,
47,2.928717368097167,2.928717368097167,3.1133333333333333,2.913333333333333,
48,2.9360901720063506,2.9360901720063506,3.12,2.92,
49,2.943431838368171,2.9434318383681712,3.126666666666667,2.9266666666666667,
50,2.950740938551973,2.950740938551973,3.1333333333333333,2.933333333333333,
51,2.9580160439271,2.9580160439271004,3.14,2.94,
52,2.965255725862897,2.9652557258628973,3.146666666666667,2.9466666666666668,
53,2.9724585557287084,2.972458555728708,3.1533333333333333,2.953333333333333,
54,2.979623104893877,2.979623104893877,3.16,2.96,
55,2.986747944727748,2.9867479447277483,3.166666666666667,2.966666666666667,
56,2.9938316465996655,2.9938316465996655,3.1733333333333333,2.973333333333333,
57,3.0008727818789733,3.0008727818789738,3.18,2.98,
58,3.0078699219350167,3.0078699219350167,3.186666666666667,2.986666666666667,
59,3.0148216381371387,3.0148216381371387,3.1933333333333334,2.993333333333333,
60,3.0217265018546833,3.0217265018546837,3.2,3.0,
61,3.0285830844569963,3.028583084456996,3.206666666666667,3.006666666666667,
62,3.03538995731342,3.03538995731342,3.2133333333333334,3.013333333333333,
63,3.0421456917932996,3.0421456917932996,3.22,3.02,
64,3.0488488592659797,3.0488488592659797,3.226666666666667,3.026666666666667,
65,3.0554980311008033,3.0554980311008033,3.2333333333333334,3.033333333333333,
66,3.0620917786671153,3.0620917786671153,3.24,3.04,
67,3.0686286733342607,3.0686286733342603,3.246666666666667,3.046666666666667,
68,3.0751072864715816,3.0751072864715816,3.2533333333333334,3.0533333333333332,
69,3.081526189448424,3.081526189448424,3.2600000000000002,3.06,
70,3.0878839536341314,3.0878839536341314,3.266666666666667,3.066666666666667,
71,3.094179150398048,3.094179150398048,3.2733333333333334,3.0733333333333333,
72,3.100410351109518,3.100410351109518,3.2800000000000002,3.08,
73,3.106576127137886,3.1065761271378856,3.286666666666667,3.086666666666667,
74,3.1126750498524953,3.1126750498524953,3.2933333333333334,3.0933333333333333,
75,3.118705690622691,3.118705690622691,3.3000000000000003,3.1,
76,3.124666620817817,3.1246666208178167,3.3066666666666666,3.106666666666667,
77,3.130556411807217,3.130556411807217,3.3133333333333335,3.1133333333333333,
78,3.1363736349602362,3.1363736349602362,3.3200000000000003,3.12,
79,3.142116861646218,3.1421168616462176,3.326666666666667,3.126666666666667,
80,3.1477846632345066,3.1477846632345066,3.3333333333333335,3.1333333333333333,
81,3.1533756110944466,3.153375611094446,3.3400000000000003,3.14,
82,3.1588882765953814,3.1588882765953814,3.3466666666666667,3.146666666666667,
83,3.1643212311066566,3.1643212311066566,3.3533333333333335,3.1533333333333333,
84,3.169673045997615,3.169673045997615,3.3600000000000003,3.16,
85,3.174942292637602,3.174942292637602,3.366666666666667,3.166666666666667,
86,3.1801275423959603,3.1801275423959603,3.3733333333333335,3.1733333333333333,
87,3.185227366642035,3.185227366642035,3.3800000000000003,3.18,
88,3.190240336745171,3.190240336745171,3.3866666666666667,3.186666666666667,
89,3.195165024074711,3.195165024074711,3.3933333333333335,3.1933333333333334,
90,3.2,3.2,3.6,3.2,3.2
